"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"191","Jamaal Williams","GB","rb","5","@MIN","5.1","4100","0","0","0","0","0","0","3.4849","13.2851","0.0739","2.0578","1.6932","12.1027","0.0738","0.0298","0.0149","0.0024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"192","Tony Pollard","DAL","rb","10","@LA","5.1","0","0","0","0","0","0","0","3.6786","17.1909","0.1005","1.666","1.3321","10.2489","0.049","0.0638","0.0319","0.0085","23.7735","0.0103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"193","Breshad Perriman","NYJ","wr","11","@BUF","7.2","4900","0","0","0","0","0","0","0.1563","0.8838","0.0062","4.3409","2.0006","36.1394","0.2256","0.0179","0.0089","0.0035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"194","Robert Tonyan","GB","te","5","@MIN","5.4","2500","0","0","0","0","0","0","0","0","0","2.7437","1.9317","23.5528","0.1712","0.0193","0.0096","0.0068","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"195","Rashaad Penny","SEA","rb","6","@ATL","4.9","4000","0","0","0","0","0","0","4.1319","18.4192","0.1364","1.3361","1.0718","8.5718","0.0462","0.0426","0.0213","0.0031","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"196","Philip Rivers","IND","qb","7","@JAX","15","6000","21.2222","34.1205","225.197","1.4949","0.7878","1.9729","0.8876","1.5024","0.0079","0","0","0","0","0.288","0.144","0.0288","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"197","Kendrick Bourne","SF","wr","11","ARZ","7","5000","0","0","0","0","0","0","0.0524","0.3403","0.0025","3.787","2.5828","30.8891","0.204","0.0291","0.0146","0.0098","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"198","Chase Claypool","PIT","wr","8","@NYG","7","0","0","0","0","0","0","0","0","0","0","4.0915","2.5385","32.6564","0.1828","0.0266","0.0133","0.0051","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"199","Devin Asiasi","NE","te","6","MIA","5.3","3500","0","0","0","0","0","0","0","0","0","2.6243","1.8581","21.7813","0.1994","0.0192","0.0096","0.0061","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200","Chase Edmonds","ARZ","rb","8","@SF","4.8","4400","0","0","0","0","0","0","3.5721","15.3447","0.1344","1.5892","1.287","8.889","0.0367","0.0499","0.0249","0.0022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
